month,year,destinationProvinceNameEn,originProvinceNameEn,visitPurposeEn,trips,spendSAR,nights
1,2018,Riyadh,Jouf,Other,3307.58,8363449.96,10395.25
1,2018,Riyadh,Jouf,VFR,2292.74,4985245.29,6274.18
1,2018,Riyadh,Madinah,Business,848.93,1697860.26,1697.86
1,2018,Riyadh,Madinah,Other,6791.44,1.226704036E7,14431.81
1,2018,Riyadh,Madinah,VFR,23770.04,4.660626406E7,136677.75
1,2018,Riyadh,Makkah,Business,36457.44,4.752417875E7,136974.87
1,2018,Riyadh,Makkah,Leisure,69510.09,5.467099509E7,358142.66
1,2018,Riyadh,Makkah,Other,4686.91,5513831.26,24050.56
1,2018,Riyadh,Makkah,VFR,106941.64,1.1032322177E8,565182.96
1,2018,Riyadh,Najran,Other,4088.74,6133112.07,13083.97
1,2018,Riyadh,Northern Borders,VFR,133.84,133844.95,267.69
1,2018,Riyadh,Riyadh,Business,13024.66,1.698869209E7,260493.28
1,2018,Riyadh,Riyadh,Leisure,2028.27,6084801.75,58449.72
1,2018,Riyadh,Riyadh,VFR,11551.43,3508183.45,47523.33
1,2018,Riyadh,Tabuk,VFR,5991.63,1.348115638E7,56920.44
1,2018,Tabuk,Albaha,Leisure,5990.35,8985525.95,47922.81
1,2018,Tabuk,Eastern,Business,369.21,406133.17,1107.64
1,2018,Tabuk,Jouf,Leisure,1417.53,1890045.19,2835.07
1,2018,Tabuk,Jouf,Other,673.86,1240062.75,2494.09
1,2018,Tabuk,Jouf,VFR,3911.62,3999953.13,13020.87
1,2018,Tabuk,Madinah,Leisure,6791.44,7640371.16,23770.04
1,2018,Tabuk,Madinah,VFR,12733.95,1.528074232E7,56878.32
1,2018,Tabuk,Makkah,Business,2497.46,3329389.11,9989.84
1,2018,Tabuk,Makkah,Leisure,32111.93,1.569105533E7,162749.09
1,2018,Tabuk,Makkah,Other,2189.45,3649082.64,16785.78
1,2018,Tabuk,Makkah,VFR,30960.3,2.022395926E7,150844.43
1,2018,Tabuk,Northern Borders,Leisure,1371.1,1051178.05,4113.31
1,2018,Tabuk,Northern Borders,VFR,267.69,173998.44,535.38
1,2018,Tabuk,Riyadh,Leisure,3582.75,4030595.0,12539.63
1,2018,Tabuk,Riyadh,VFR,1791.38,2866200.89,8956.88
1,2018,Tabuk,Tabuk,Leisure,30296.93,2.208698319E7,142978.71
2,2018,Albaha,Madinah,Leisure,3266.53,3266527.48,13066.11
2,2018,Albaha,Makkah,Business,1508.59,754296.98,2262.89
2,2018,Albaha,Makkah,Leisure,29081.99,1.652223977E7,133040.11
2,2018,Albaha,Makkah,VFR,29417.58,9881290.5,152367.99
2,2018,Albaha,Riyadh,Leisure,1767.67,1767674.93,7070.7
2,2018,Alqassim,Albaha,VFR,4756.67,5351250.84,33296.67
2,2018,Alqassim,Alqassim,Leisure,837.92,125687.36,1675.83
2,2018,Alqassim,Alqassim,VFR,837.92,335166.29,1675.83
2,2018,Alqassim,Hail,Business,1078.74,539367.99,2157.47
2,2018,Alqassim,Hail,Other,3236.21,3775575.96,10787.36
2,2018,Alqassim,Hail,VFR,11866.1,2373219.17,23732.19
2,2018,Alqassim,Jouf,Business,437.39,2405620.45,1312.16
2,2018,Alqassim,Jouf,Leisure,2997.07,4139238.61,6868.92
2,2018,Alqassim,Jouf,VFR,1684.92,1809669.55,5994.15
2,2018,Alqassim,Madinah,Business,2449.9,1633263.74,7349.69
2,2018,Alqassim,Madinah,VFR,4083.16,2449895.61,20415.8
2,2018,Alqassim,Makkah,Leisure,8297.27,1697168.22,51292.19
2,2018,Alqassim,Makkah,VFR,1508.59,1131445.48,4525.78
2,2018,Alqassim,Northern Borders,Leisure,907.52,1043648.54,2722.56
2,2018,Alqassim,Northern Borders,VFR,2534.57,2558882.56,6696.2
2,2018,Alqassim,Riyadh,Business,558.8,111759.5,1117.59
2,2018,Alqassim,Riyadh,Leisure,4419.19,9722212.13,40656.52
2,2018,Alqassim,Riyadh,VFR,6745.66,3747180.99,25306.25
2,2018,Aseer,Albaha,Leisure,8324.17,2972917.14,33296.67
2,2018,Aseer,Aseer,Business,356.99,107097.15,713.98
2,2018,Aseer,Aseer,Leisure,46989.08,3.888588472E7,195500.4
2,2018,Aseer,Aseer,VFR,21608.52,4.456757634E7,199878.83
2,2018,Aseer,Eastern,Other,681.3,340648.69,1362.59
2,2018,Aseer,Eastern,VFR,681.3,1021946.08,2725.19
2,2018,Aseer,Jazan,Leisure,6532.32,2.61475506E7,13064.64
2,2018,Aseer,Jazan,Other,9197.86,3219250.36,18395.72
2,2018,Aseer,Jazan,VFR,12263.81,8431370.0,27593.57
2,2018,Aseer,Jouf,Leisure,1749.54,7391815.56,11372.02
2,2018,Aseer,Madinah,Leisure,4899.79,1.086120387E7,22865.69
2,2018,Aseer,Madinah,VFR,1633.26,3266527.48,8166.32
2,2018,Aseer,Makkah,Business,1072.64,643582.91,2145.28
2,2018,Aseer,Makkah,Leisure,60157.14,3.353892818E7,334636.51
2,2018,Aseer,Makkah,Other,754.3,301718.79,3771.48
2,2018,Aseer,Makkah,VFR,7542.97,4601211.61,44503.52
2,2018,Aseer,Najran,Leisure,2467.56,4112594.02,12337.78
2,2018,Aseer,Najran,VFR,8225.19,4770609.06,28788.16
2,2018,Aseer,Riyadh,Leisure,6186.86,1.060604959E7,92802.93
2,2018,Aseer,Riyadh,VFR,8188.29,8569214.44,54849.12
2,2018,Aseer,Tabuk,Business,7495.19,1.186739151E7,22485.58
2,2018,Aseer,Tabuk,VFR,28731.58,7.057974948E7,371012.13
2,2018,Eastern,Albaha,VFR,3567.5,6778251.07,20215.84
2,2018,Eastern,Alqassim,Leisure,8379.16,7960199.48,31840.8
2,2018,Eastern,Alqassim,Other,1675.83,418957.87,3351.66
2,2018,Eastern,Alqassim,VFR,10054.99,2513747.2,26813.3
2,2018,Eastern,Aseer,Business,16206.39,4.321704372E7,113444.74
2,2018,Eastern,Aseer,Leisure,5402.13,2.43095871E7,37814.91
2,2018,Eastern,Aseer,Other,2701.07,2701065.23,10804.26
2,2018,Eastern,Aseer,VFR,27010.65,5.267077204E7,183672.44
2,2018,Eastern,Eastern,Business,1362.59,1873567.81,4087.78
2,2018,Eastern,Eastern,Leisure,11605.13,1.013457348E7,68880.27
2,2018,Eastern,Eastern,Other,681.3,340648.69,2043.89
2,2018,Eastern,Eastern,VFR,4509.2,3485852.87,16604.98
